PRNAME,CARUID,crop,forecastYear,forecastMonth,PR ID,Forecasted Median Yield,Forecasted 10th Percentile Worst Yield,Forecasted 90th Percentile Best Yield,% Departure from the Long Term (1987-last year) Mean Yield,% Departure from the Last 5 Years (2019-2023) Mean Yield,% Departure from Last Year's Mean Yield,Crop Potential Index,Bravis-Pearson Coefficients of Determination (R2),Root Mean Square Error,LATITUDE,LONGITUDE
Manitoba,4600,canary_seed,2024,8,46,1541.83,1265.99,1817.66,39.73,,-3.64,,0.49,254.33,54.92959976,-97.43240356
Saskatchewan,4701,canary_seed,2024,8,47,1289.85,1140.54,1439.15,36.76,-6.12,10.43,-0.47,0.72,121.55,49.52339935,-102.3099976
Saskatchewan,4702,canary_seed,2024,8,47,1379.83,1156,1603.65,46.72,7.58,56.44,0.38,0.71,155.17,49.52310181,-104.2490005
Saskatchewan,4703,canary_seed,2024,8,47,970.4,689.69,1251.09,23.38,,,,0.52,205.56,49.54230118,-106.4049988
Saskatchewan,4704,canary_seed,2024,8,47,881.75,598.83,1164.68,5.29,,,,0.35,241.12,49.53290176,-108.7890015
Saskatchewan,4705,canary_seed,2024,8,47,1128.73,937.9,1319.55,14.89,,,,0.75,130.45,50.58200073,-102.3919983
Saskatchewan,4706,canary_seed,2024,8,47,1463.79,1275,1652.57,33.46,-3.05,15.17,-0.23,0.65,171.15,50.59830093,-104.3659973
Saskatchewan,4707,canary_seed,2024,8,47,1103.56,890.43,1316.69,13,,82.71,,0.53,155.09,50.59840012,-106.6139984
Saskatchewan,4708,canary_seed,2024,8,47,937.1,700,1174.19,-1.34,26.87,38.83,0.68,0.65,143.53,50.71530151,-108.8300018
Saskatchewan,4709,canary_seed,2024,8,47,1324.51,1084.97,1564.05,36.53,,,,0.59,166.37,51.7173996,-102.4309998
Saskatchewan,4710,canary_seed,2024,8,47,1211.37,1010.31,1412.44,20.81,-18.83,-18.59,-1.03,0.66,160.53,51.6393013,-104.1080017
Saskatchewan,4711,canary_seed,2024,8,47,1045.18,793.38,1296.97,11.87,,88.32,,0.39,207.49,51.67309952,-106.0029984
Saskatchewan,4712,canary_seed,2024,8,47,1083.83,837.24,1330.43,9.86,,,,0.64,175.29,51.94589996,-107.7990036
Saskatchewan,4713,canary_seed,2024,8,47,1206.78,915.11,1498.44,16.4,-4,51.99,-0.13,0.41,255.18,52.15140152,-109.262001
Saskatchewan,4714,canary_seed,2024,8,47,1337.85,1094.85,1580.85,23.46,-0.65,27.9,-0.02,0.61,200.75,53.01649857,-103.3099976
Saskatchewan,4715,canary_seed,2024,8,47,1264.84,975.5,1554.18,13.93,-1.84,11.05,-0.06,0.63,203.27,52.89289856,-105.586998
Saskatchewan,4716,canary_seed,2024,8,47,1103,857.48,1348.52,2.44,,,,0.52,201.5,56.79359818,-105.9339981
Saskatchewan,4717,canary_seed,2024,8,47,697.42,454.64,940.22,-22.03,,,,0.69,160.14,53.79119873,-108.9599991
Alberta,4800,canary_seed,2024,8,48,1075.43,831.86,1319.02,5.71,,,,0.39,193.34,55.1697998,-114.5110016
Manitoba,4600,canary_seed,2024,9,46,1548.34,1275.91,1820.77,40.32,,-3.23,,0.49,254.33,54.92959976,-97.43240356
Saskatchewan,4701,canary_seed,2024,9,47,1290.44,1131.08,1449.8,36.82,-6.08,10.48,-0.46,0.72,121.55,49.52339935,-102.3099976
Saskatchewan,4702,canary_seed,2024,9,47,1387.09,1195.43,1578.75,47.49,8.15,57.27,0.4,0.69,159.48,49.52310181,-104.2490005
Saskatchewan,4703,canary_seed,2024,9,47,979.47,726.79,1232.13,24.53,,,,0.35,234.26,49.54230118,-106.4049988
Saskatchewan,4704,canary_seed,2024,9,47,900.34,636.65,1164.02,7.51,,,,0.38,235.55,49.53290176,-108.7890015
Saskatchewan,4705,canary_seed,2024,9,47,1154.74,959.51,1349.97,17.54,,,,0.74,132.59,50.58200073,-102.3919983
Saskatchewan,4706,canary_seed,2024,9,47,1498.43,1310.14,1686.72,36.61,-0.75,17.89,-0.06,0.65,171.15,50.59830093,-104.3659973
Saskatchewan,4707,canary_seed,2024,9,47,1060.01,846.66,1273.36,8.55,,75.5,,0.56,149.27,50.59840012,-106.6139984
Saskatchewan,4708,canary_seed,2024,9,47,958.79,774.05,1143.53,0.94,29.81,42.04,0.76,0.66,142.28,50.71530151,-108.8300018
Saskatchewan,4709,canary_seed,2024,9,47,1330.1,1104.12,1556.09,37.11,,,,0.59,166.37,51.7173996,-102.4309998
Saskatchewan,4710,canary_seed,2024,9,47,1226.78,1030.15,1423.41,22.34,-17.79,-17.56,-0.97,0.66,160.53,51.6393013,-104.1080017
Saskatchewan,4711,canary_seed,2024,9,47,1016.96,774.23,1259.69,8.85,,83.24,,0.39,207.49,51.67309952,-106.0029984
Saskatchewan,4712,canary_seed,2024,9,47,1279.33,1077.41,1481.25,29.68,,,,0.67,167.85,51.94589996,-107.7990036
Saskatchewan,4713,canary_seed,2024,9,47,1126.3,918.15,1334.46,8.64,-10.4,41.85,-0.33,0.5,237.02,52.15140152,-109.262001
Saskatchewan,4714,canary_seed,2024,9,47,1360.72,1105.2,1616.23,25.57,1.05,30.09,0.04,0.61,200.75,53.01649857,-103.3099976
Saskatchewan,4715,canary_seed,2024,9,47,1324.38,1067.45,1581.32,19.3,2.78,16.28,0.09,0.63,203.27,52.89289856,-105.586998
Saskatchewan,4716,canary_seed,2024,9,47,1091.03,892.46,1289.59,1.33,,,,0.53,198.33,56.79359818,-105.9339981
Saskatchewan,4717,canary_seed,2024,9,47,691,469.39,912.61,-22.75,,,,0.69,160.14,53.79119873,-108.9599991
Alberta,4800,canary_seed,2024,9,48,1042.22,764.8,1319.63,2.44,,,,0.39,193.34,55.1697998,-114.5110016
British Columbia / Colombie-Britannique,5901,canola,2024,7,59,36.63,27.99,45.27,1.57,-4.43,-24.64,-0.22,0.4,6.19,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,canola,2024,7,59,32.73,27.71,37.75,16.73,7.3,-4.59,0.85,0.88,2.31,57.69950104,-123.1610031
Alberta,4820,canola,2024,7,48,40.24,31.7,48.78,12.59,21.35,52.42,0.69,0.83,3.58,50.52590179,-112.5500031
Alberta,4810,canola,2024,7,48,33.84,24.98,42.69,16.51,39.7,69.18,1.2,0.84,3.16,50.66460037,-110.9089966
Alberta,4830,canola,2024,7,48,44.77,36.21,53.33,38.68,23.13,31.68,0.82,0.72,4.83,51.08769989,-115.1790009
Alberta,4850,canola,2024,7,48,48.52,43.43,53.59,30.03,12.72,2.57,1.35,0.73,3.68,52.69950104,-114.6679993
Alberta,4870,canola,2024,7,48,38.01,32.88,43.14,35.05,10.23,1.63,0.93,0.74,3,56.94729996,-116.8280029
Alberta,4860,canola,2024,7,48,46.84,41.32,52.37,36.02,18.89,5.74,1.7,0.67,3.53,56.47129822,-112.810997
Alberta,4840,canola,2024,7,48,47.06,40.11,54.02,54.82,19.21,17.37,1.37,0.9,2.98,52.48089981,-111.4990005
Alberta,4841,canola,2024,7,48,46.72,40.15,53.28,45.88,14.79,3.59,1.05,0.88,3.16,53.36869812,-111.6920013
Saskatchewan,4704,canola,2024,7,47,28.8,19.78,37.83,17.46,15.38,48.45,0.52,0.69,4.23,49.53290176,-108.7890015
Saskatchewan,4708,canola,2024,7,47,29.96,18.93,41,5.49,32.23,117.12,0.77,0.8,3.95,50.71530151,-108.8300018
Saskatchewan,4703,canola,2024,7,47,25.86,16.32,35.4,2.67,3.52,39.77,0.08,0.79,3.74,49.54230118,-106.4049988
Saskatchewan,4707,canola,2024,7,47,37.25,29.74,44.76,23.68,21.41,57.83,0.62,0.84,3.16,50.59840012,-106.6139984
Saskatchewan,4702,canola,2024,7,47,34.87,26.82,42.93,35.52,4.66,41.76,0.25,0.82,3.29,49.52310181,-104.2490005
Saskatchewan,4706,canola,2024,7,47,41.27,35.9,46.63,45.17,6.31,15.6,0.38,0.86,2.9,50.59830093,-104.3659973
Saskatchewan,4701,canola,2024,7,47,36.73,31.17,42.29,35.46,-4.4,8.03,-0.4,0.82,3.16,49.52339935,-102.3099976
Saskatchewan,4705,canola,2024,7,47,42.48,36.44,48.53,49.28,4.68,10.34,0.32,0.83,3.38,50.58200073,-102.3919983
Saskatchewan,4713,canola,2024,7,47,42.27,34.87,49.66,49.98,19.74,35.04,0.74,0.79,4.16,52.15140152,-109.262001
Saskatchewan,4717,canola,2024,7,47,47.46,40.54,54.38,56.84,15.35,12.46,0.78,0.86,3.98,53.79119873,-108.9599991
Saskatchewan,4712,canola,2024,7,47,39.57,31.19,47.94,41.86,30.84,51.6,0.81,0.78,4.13,51.94589996,-107.7990036
Saskatchewan,4711,canola,2024,7,47,37.66,30.4,44.93,36.92,20.02,27.67,0.77,0.81,3.4,51.67309952,-106.0029984
Saskatchewan,4716,canola,2024,7,47,43.98,37.48,50.49,54.9,13.95,10.79,0.59,0.78,4.38,56.79359818,-105.9339981
Saskatchewan,4710,canola,2024,7,47,43.1,37.63,48.56,49.26,6,4.87,0.4,0.81,3.62,51.6393013,-104.1080017
Saskatchewan,4715,canola,2024,7,47,44.66,37.78,51.55,52.71,11.32,2.91,0.51,0.75,4.76,52.89289856,-105.586998
Saskatchewan,4709,canola,2024,7,47,46.57,40.22,52.92,55.41,2.54,-1.12,0.23,0.84,3.89,51.7173996,-102.4309998
Saskatchewan,4714,canola,2024,7,47,44.59,38.29,50.89,50.6,6.01,-0.47,0.35,0.79,4.09,53.01649857,-103.3099976
Manitoba,4601,canola,2024,7,46,41.52,35.76,47.28,39,1.87,4.85,0.5,0.75,3.55,49.27149963,-100.3990021
Manitoba,4602,canola,2024,7,46,41.05,35.88,46.22,32.24,1.5,2.11,0.3,0.8,3.18,49.79869843,-100.2649994
Manitoba,4603,canola,2024,7,46,42.16,37.31,47.01,33.07,-0.29,-10.11,-0.04,0.84,3,50.34700012,-100.387001
Manitoba,4608,canola,2024,7,46,46.71,40.69,52.74,37.95,8.99,12.83,0.9,0.79,3.51,49.27899933,-98.30419922
Manitoba,4607,canola,2024,7,46,42.06,34.94,49.18,30.41,9.09,-3.08,0.51,0.73,3.87,49.98550034,-98.45970154
Manitoba,4609,canola,2024,7,46,43.54,35.73,51.35,44.05,5.94,-5.55,0.39,0.75,4.96,49.63000107,-96.80410004
Manitoba,4611,canola,2024,7,46,38.47,29.09,47.84,35.27,9.48,-17.62,0.3,0.67,5.1,50.22650146,-97.2460022
Manitoba,4610,canola,2024,7,46,43.7,36.12,51.28,52.01,-0.81,-12.94,-0.05,0.71,6.06,49.73680115,-95.84950256
Manitoba,4604,canola,2024,7,46,46.78,40.4,53.17,45.86,-0.68,-1.93,-0.07,0.76,4.44,51.0135994,-101.1809998
Manitoba,4605,canola,2024,7,46,46.43,40.04,52.83,43.5,1.83,-1.83,0.38,0.73,4.52,52.08010101,-101.052002
Manitoba,4606,canola,2024,7,46,37.93,32.84,43.03,26.8,-0.55,-6.34,-0.11,0.7,3.57,51.12139893,-99.88110352
Manitoba,4612,canola,2024,7,46,35.72,31.14,40.29,23.09,-2.89,-16.36,-0.19,0.74,3.22,55.729599,-97.167099
Ontario,3500,canola,2024,7,35,50.26,45.83,54.7,23.92,6.3,-5.88,0.64,0.77,2.88,50.44540024,-86.04720306
New Brunswick / Nouveau-Brunswick,1300,canola,2024,7,13,45.85,41.97,49.74,14.8,8.65,0.55,1.11,0.79,1.79,46.61719894,-66.37850189
Quebec,2400,canola,2024,7,24,40.98,37.39,44.57,5.52,0.69,0.2,0.17,0.32,2.4,53.39260101,-71.78160095
British Columbia / Colombie-Britannique,5901,canola,2024,8,59,36.41,28.29,44.53,0.96,-5,-25.09,-0.25,0.4,6.19,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,canola,2024,8,59,32.09,27.14,37.03,14.46,5.21,-6.45,0.61,0.87,2.4,57.69950104,-123.1610031
Alberta,4820,canola,2024,8,48,36.48,30.79,42.17,10.67,10.01,38.18,0.33,0.8,3.74,50.52590179,-112.5500031
Alberta,4810,canola,2024,8,48,28.44,22.44,34.44,4.23,17.41,42.19,0.52,0.78,3.53,50.66460037,-110.9089966
Alberta,4830,canola,2024,8,48,40.17,33.62,46.73,24.43,10.48,18.15,0.37,0.62,5.64,51.08769989,-115.1790009
Alberta,4850,canola,2024,8,48,45.04,40.97,49.1,20.72,4.65,-4.78,0.49,0.7,3.77,52.69950104,-114.6679993
Alberta,4870,canola,2024,8,48,37.63,32.52,42.73,33.7,9.13,0.61,0.83,0.69,3.21,56.94729996,-116.8280029
Alberta,4860,canola,2024,8,48,44.02,38.56,49.47,27.82,11.72,-0.63,1.06,0.61,3.78,56.47129822,-112.810997
Alberta,4840,canola,2024,8,48,40.42,34.75,46.1,32.96,2.38,0.8,0.17,0.84,3.65,52.48089981,-111.4990005
Alberta,4841,canola,2024,8,48,42.25,36.77,47.72,31.93,3.81,-6.32,0.27,0.83,3.73,53.36869812,-111.6920013
Saskatchewan,4704,canola,2024,8,47,25.86,19.39,32.34,5.48,3.61,33.31,0.12,0.69,4.24,49.53290176,-108.7890015
Saskatchewan,4708,canola,2024,8,47,25.8,18.73,32.87,-0.95,13.88,86.99,0.33,0.74,4.46,50.71530151,-108.8300018
Saskatchewan,4703,canola,2024,8,47,24.83,18.07,31.59,-1.42,-0.6,34.22,-0.01,0.72,4.18,49.54230118,-106.4049988
Saskatchewan,4707,canola,2024,8,47,34.5,29.49,39.51,26.5,12.45,46.19,0.36,0.82,3.38,50.59840012,-106.6139984
Saskatchewan,4702,canola,2024,8,47,30.18,24.78,35.58,17.29,-9.42,22.68,-0.5,0.79,3.6,49.52310181,-104.2490005
Saskatchewan,4706,canola,2024,8,47,41.25,37.08,45.42,45.11,6.26,15.55,0.38,0.85,3.04,50.59830093,-104.3659973
Saskatchewan,4701,canola,2024,8,47,36.97,32.79,41.15,36.34,-3.77,8.74,-0.35,0.82,3.16,49.52339935,-102.3099976
Saskatchewan,4705,canola,2024,8,47,41.3,37.13,45.47,45.12,1.77,7.26,0.12,0.83,3.38,50.58200073,-102.3919983
Saskatchewan,4713,canola,2024,8,47,34.68,29.05,40.3,23.05,-1.76,10.79,-0.07,0.8,4.21,52.15140152,-109.262001
Saskatchewan,4717,canola,2024,8,47,37.18,32.91,41.44,22.87,-9.63,-11.9,-0.49,0.88,3.7,53.79119873,-108.9599991
Saskatchewan,4712,canola,2024,8,47,33.02,26.26,39.79,18.37,9.18,26.5,0.24,0.77,4.39,51.94589996,-107.7990036
Saskatchewan,4711,canola,2024,8,47,34.92,30.15,39.69,26.94,11.28,18.37,0.43,0.8,3.35,51.67309952,-106.0029984
Saskatchewan,4716,canola,2024,8,47,39.14,33.6,44.68,37.83,1.39,-1.42,0.06,0.82,3.99,56.79359818,-105.9339981
Saskatchewan,4710,canola,2024,8,47,42.99,38.12,47.86,48.88,5.73,4.6,0.38,0.81,3.62,51.6393013,-104.1080017
Saskatchewan,4715,canola,2024,8,47,44.53,38.57,50.5,52.26,10.99,2.6,0.49,0.75,4.76,52.89289856,-105.586998
Saskatchewan,4709,canola,2024,8,47,48.24,42.83,53.64,60.96,6.2,2.41,0.57,0.84,3.89,51.7173996,-102.4309998
Saskatchewan,4714,canola,2024,8,47,41.42,36.04,46.8,39.88,-1.53,-7.55,-0.09,0.79,4.09,53.01649857,-103.3099976
Manitoba,4601,canola,2024,8,46,42.92,38.44,47.4,43.69,5.3,8.38,1.43,0.75,3.58,49.27149963,-100.3990021
Manitoba,4602,canola,2024,8,46,39.36,35.29,43.44,26.8,-2.67,-2.09,-0.53,0.8,3.18,49.79869843,-100.2649994
Manitoba,4603,canola,2024,8,46,41.19,36.66,45.72,30,-2.59,-12.18,-0.4,0.84,3,50.34700012,-100.387001
Manitoba,4608,canola,2024,8,46,45.94,41,50.9,35.68,7.19,10.97,0.72,0.77,3.66,49.27899933,-98.30419922
Manitoba,4607,canola,2024,8,46,40.55,35.64,45.48,25.74,5.17,-6.56,0.29,0.7,4.04,49.98550034,-98.45970154
Manitoba,4609,canola,2024,8,46,37.84,31.84,43.84,25.18,-7.93,-17.92,-0.52,0.76,4.89,49.63000107,-96.80410004
Manitoba,4611,canola,2024,8,46,36.07,29.43,42.7,26.81,2.64,-22.77,0.08,0.71,4.74,50.22650146,-97.2460022
Manitoba,4610,canola,2024,8,46,43.87,36.9,50.85,52.6,-0.43,-12.61,-0.03,0.74,5.7,49.73680115,-95.84950256
Manitoba,4604,canola,2024,8,46,44.25,39.01,49.49,37.96,-6.06,-7.24,-0.65,0.76,4.44,51.0135994,-101.1809998
Manitoba,4605,canola,2024,8,46,46.02,40.14,51.91,42.22,0.92,-2.7,0.19,0.7,4.74,52.08010101,-101.052002
Manitoba,4606,canola,2024,8,46,36.73,31.7,41.76,22.79,-3.69,-9.3,-0.77,0.72,3.52,51.12139893,-99.88110352
Manitoba,4612,canola,2024,8,46,35.58,31,40.17,22.62,-3.26,-16.68,-0.22,0.75,3.15,55.729599,-97.167099
Ontario,3500,canola,2024,8,35,48.55,44.69,52.41,26.89,2.68,-9.08,0.27,0.8,2.74,50.44540024,-86.04720306
New Brunswick / Nouveau-Brunswick,1300,canola,2024,8,13,46.3,42.34,50.26,15.93,9.72,1.54,1.25,0.84,1.55,46.61719894,-66.37850189
Quebec,2400,canola,2024,8,24,40.94,37.52,44.38,5.43,0.6,0.11,0.15,0.32,2.39,53.39260101,-71.78160095
British Columbia / Colombie-Britannique,5901,canola,2024,9,59,34.64,25.54,43.76,-3.92,-9.6,-28.71,-0.48,0.4,6.19,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,canola,2024,9,59,29.33,25.81,32.84,4.62,-3.84,-14.49,-0.45,0.88,2.31,57.69950104,-123.1610031
Alberta,4820,canola,2024,9,48,34.59,30.02,39.17,4.94,4.32,31.03,0.14,0.81,3.66,50.52590179,-112.5500031
Alberta,4810,canola,2024,9,48,28.57,23.67,33.47,4.7,17.95,42.83,0.54,0.79,3.47,50.66460037,-110.9089966
Alberta,4830,canola,2024,9,48,42.49,36.49,48.5,31.62,16.87,24.98,0.6,0.72,4.85,51.08769989,-115.1790009
Alberta,4850,canola,2024,9,48,44.26,39.59,48.94,18.64,2.84,-6.42,0.3,0.73,3.68,52.69950104,-114.6679993
Alberta,4870,canola,2024,9,48,39.29,35,43.58,39.6,13.94,5.05,1.26,0.69,3.21,56.94729996,-116.8280029
Alberta,4860,canola,2024,9,48,42.94,38.58,47.29,24.68,8.97,-3.08,0.81,0.67,3.53,56.47129822,-112.810997
Alberta,4840,canola,2024,9,48,38.42,34.13,42.71,26.37,-2.69,-4.2,-0.19,0.88,3.2,52.48089981,-111.4990005
Alberta,4841,canola,2024,9,48,41.01,36.83,45.21,28.07,0.77,-9.06,0.05,0.89,3.1,53.36869812,-111.6920013
Saskatchewan,4704,canola,2024,9,47,25.05,20.06,30.04,2.17,0.36,29.13,0.01,0.69,4.23,49.53290176,-108.7890015
Saskatchewan,4708,canola,2024,9,47,27.42,22.84,31.99,5.24,20.99,98.68,0.5,0.79,3.96,50.71530151,-108.8300018
Saskatchewan,4703,canola,2024,9,47,24.22,19.73,28.71,-3.85,-3.06,30.9,-0.07,0.76,3.92,49.54230118,-106.4049988
Saskatchewan,4707,canola,2024,9,47,34.37,29.7,39.05,26.03,12.03,45.64,0.35,0.82,3.39,50.59840012,-106.6139984
Saskatchewan,4702,canola,2024,9,47,31.55,27.23,35.88,22.62,-5.3,28.27,-0.28,0.8,3.47,49.52310181,-104.2490005
Saskatchewan,4706,canola,2024,9,47,40.15,35.4,44.89,41.23,3.42,12.46,0.21,0.81,3.43,50.59830093,-104.3659973
Saskatchewan,4701,canola,2024,9,47,36.55,33.28,39.84,34.81,-4.85,7.51,-0.45,0.82,3.16,49.52339935,-102.3099976
Saskatchewan,4705,canola,2024,9,47,42.34,37.5,47.18,48.78,4.34,9.97,0.3,0.82,3.47,50.58200073,-102.3919983
Saskatchewan,4713,canola,2024,9,47,34.83,28.95,40.7,23.58,-1.34,11.27,-0.05,0.77,4.46,52.15140152,-109.262001
Saskatchewan,4717,canola,2024,9,47,42.11,37.3,46.91,39.16,2.35,-0.22,0.12,0.86,3.99,53.79119873,-108.9599991
Saskatchewan,4712,canola,2024,9,47,36.62,31.66,41.57,31.28,21.08,40.29,0.55,0.78,4.24,51.94589996,-107.7990036
Saskatchewan,4711,canola,2024,9,47,35.4,31.35,39.44,28.68,12.8,19.99,0.49,0.8,3.32,51.67309952,-106.0029984
Saskatchewan,4716,canola,2024,9,47,39.06,33.82,44.31,37.57,1.2,-1.61,0.05,0.83,3.9,56.79359818,-105.9339981
Saskatchewan,4710,canola,2024,9,47,42.88,38.28,47.47,48.49,5.46,4.33,0.36,0.81,3.62,51.6393013,-104.1080017
Saskatchewan,4715,canola,2024,9,47,45.14,39.48,50.79,54.34,12.51,4,0.56,0.75,4.76,52.89289856,-105.586998
Saskatchewan,4709,canola,2024,9,47,48.35,43.39,53.32,61.34,6.45,2.65,0.6,0.84,3.89,51.7173996,-102.4309998
Saskatchewan,4714,canola,2024,9,47,43.23,37.9,48.58,46.02,2.79,-3.5,0.16,0.77,4.26,53.01649857,-103.3099976
Manitoba,4601,canola,2024,9,46,42.72,38.15,47.29,43.02,4.81,7.88,1.3,0.75,3.57,49.27149963,-100.3990021
Manitoba,4602,canola,2024,9,46,39.89,36.38,43.39,28.49,-1.37,-0.78,-0.27,0.8,3.18,49.79869843,-100.2649994
Manitoba,4603,canola,2024,9,46,40.97,36.66,45.29,29.33,-3.09,-12.64,-0.48,0.84,3,50.34700012,-100.387001
Manitoba,4608,canola,2024,9,46,46.63,41.73,51.53,37.71,8.8,12.63,0.88,0.78,3.57,49.27899933,-98.30419922
Manitoba,4607,canola,2024,9,46,41.73,36.11,47.34,29.37,8.21,-3.85,0.46,0.71,3.97,49.98550034,-98.45970154
Manitoba,4609,canola,2024,9,46,37.55,31.43,43.68,24.23,-8.63,-18.54,-0.57,0.76,4.93,49.63000107,-96.80410004
Manitoba,4611,canola,2024,9,46,35.24,28.32,42.16,23.92,0.3,-24.53,0.01,0.62,5.38,50.22650146,-97.2460022
Manitoba,4610,canola,2024,9,46,44.95,38.42,51.49,56.35,2.02,-10.46,0.14,0.74,5.66,49.73680115,-95.84950256
Manitoba,4604,canola,2024,9,46,43.53,37.74,49.31,35.71,-7.59,-8.75,-0.81,0.77,4.33,51.0135994,-101.1809998
Manitoba,4605,canola,2024,9,46,47.56,42.74,52.39,46.96,4.29,0.54,0.89,0.69,4.8,52.08010101,-101.052002
Manitoba,4606,canola,2024,9,46,34.25,29.7,38.79,14.49,-10.2,-15.44,-2.13,0.7,3.57,51.12139893,-99.88110352
Manitoba,4612,canola,2024,9,46,35.59,31.08,40.09,22.64,-3.25,-16.66,-0.22,0.74,3.22,55.729599,-97.167099
Ontario,3500,canola,2024,9,35,48.69,45.33,52.07,27.28,2.99,-8.81,0.3,0.76,3.04,50.44540024,-86.04720306
New Brunswick / Nouveau-Brunswick,1300,canola,2024,9,13,46.5,42.91,50.1,16.44,10.2,1.98,1.31,0.84,1.55,46.61719894,-66.37850189
Quebec,2400,canola,2024,9,24,39.9,36.29,43.51,2.74,-1.97,-2.45,-0.48,0.37,2.28,53.39260101,-71.78160095
Alberta,4800,corn,2024,7,48,142.53,125.4,159.65,36.58,2.33,-4.98,0.34,0.7,13.79,55.1697998,-114.5110016
Manitoba,4600,corn,2024,7,46,131.17,115.82,146.52,38.12,9.92,2.16,0.68,0.8,9.2,54.92959976,-97.43240356
New Brunswick / Nouveau-Brunswick,1300,corn,2024,7,13,136.1,121.49,150.72,17.03,7.61,-0.73,0.55,0.57,9.86,46.61719894,-66.37850189
Nova Scotia / Nouvelle-Écosse,1200,corn,2024,7,12,133.26,122.16,144.35,25.4,12.85,23.38,1.33,0.7,7.13,45.14590073,-63.33179855
Ontario,3501,corn,2024,7,35,187.41,175.45,199.37,31.33,6.56,4.87,1.7,0.91,8.06,42.83430099,-81.15840149
Ontario,3502,corn,2024,7,35,177.91,163.54,192.27,32.75,7.15,5.02,1.55,0.92,6.37,44.06389999,-80.59929657
Ontario,3503,corn,2024,7,35,158.15,142.61,173.69,36.95,7.89,-0.22,0.94,0.93,6.52,44.89519882,-78.82150269
Ontario,3504,corn,2024,7,35,167.72,152.26,183.18,27.19,7.68,3.91,1.26,0.77,10.55,45.12820053,-76.3615036
Ontario,3505,corn,2024,7,35,116,95.6,136.4,19.29,-6.6,-2.6,-1.76,0.66,14.01,51.1882019,-86.91320038
Quebec,2403,corn,2024,7,24,152.18,140.66,163.7,16.91,15.41,22.53,2.64,0.57,9.04,47.63639832,-72.93379974
Quebec,2404,corn,2024,7,24,149.06,130.62,167.5,20.43,9.62,29.17,0.54,0.85,8.1,45.46530151,-71.58560181
Quebec,2405,corn,2024,7,24,150.44,141.04,159.84,5.57,5.16,6.02,3.05,0.5,8.2,46.57379913,-73.90589905
Quebec,2406,corn,2024,7,24,140.54,122.22,158.85,0.56,-2.61,-10.09,-0.3,0.68,8.62,46.56259918,-75.8506012
Quebec,2408,corn,2024,7,24,127.83,110.86,144.8,13.55,7.84,7.24,0.93,0.27,13.9,46.48519897,-70.73770142
Quebec,2409,corn,2024,7,24,163.23,148.62,177.84,6.63,3.83,3.37,0.73,0.73,6.78,45.51089859,-72.90090179
Quebec,2410,corn,2024,7,24,168.4,154.92,181.87,7.5,7.71,7.88,1.27,0.56,7.65,45.21229935,-73.78250122
Quebec,2411,corn,2024,7,24,151.37,136.77,165.97,13.1,7.14,9.45,2.25,0.76,8.07,46.09189987,-72.14859772
Alberta,4800,corn,2024,8,48,145.77,128.36,163.19,39.69,4.66,-2.82,0.68,0.7,13.79,55.1697998,-114.5110016
Manitoba,4600,corn,2024,8,46,129.05,116.55,141.54,35.88,8.13,0.5,0.56,0.81,9.03,54.92959976,-97.43240356
New Brunswick / Nouveau-Brunswick,1300,corn,2024,8,13,137.16,124.54,149.77,17.94,8.44,0.04,0.61,0.55,10.1,46.61719894,-66.37850189
Nova Scotia / Nouvelle-Écosse,1200,corn,2024,8,12,131.75,121.22,142.29,23.99,11.58,22,1.2,0.71,7.13,45.14590073,-63.33179855
Ontario,3501,corn,2024,8,35,189.1,178.27,199.92,20.61,7.51,5.82,1.95,0.89,9.32,42.83430099,-81.15840149
Ontario,3502,corn,2024,8,35,177.51,163.26,191.76,20.23,6.91,4.79,1.49,0.91,5.99,44.06389999,-80.59929657
Ontario,3503,corn,2024,8,35,160.83,147.61,174.04,22.63,9.72,1.47,1.16,0.9,7.32,44.89519882,-78.82150269
Ontario,3504,corn,2024,8,35,177.2,162.04,192.36,22.65,13.77,9.79,2.26,0.74,10.07,45.12820053,-76.3615036
Ontario,3505,corn,2024,8,35,115.59,95.73,135.45,18.87,-6.94,-2.95,-1.84,0.66,14.04,51.1882019,-86.91320038
Quebec,2403,corn,2024,8,24,150.47,138.28,162.67,15.6,14.12,21.15,2.42,0.59,8.89,47.63639832,-72.93379974
Quebec,2404,corn,2024,8,24,151.9,141.98,161.82,22.73,11.71,31.63,0.66,0.91,6.35,45.46530151,-71.58560181
Quebec,2405,corn,2024,8,24,149.22,139.9,158.56,4.71,4.31,5.16,2.55,0.5,8.2,46.57379913,-73.90589905
Quebec,2406,corn,2024,8,24,147.69,131.97,163.41,5.68,2.35,-5.51,0.27,0.72,7.99,46.56259918,-75.8506012
Quebec,2408,corn,2024,8,24,128.56,111.46,145.66,14.2,8.45,7.85,1.01,0.27,13.8,46.48519897,-70.73770142
Quebec,2409,corn,2024,8,24,165.19,153.1,177.27,7.91,5.08,4.61,0.97,0.75,6.53,45.51089859,-72.90090179
Quebec,2410,corn,2024,8,24,167.15,152.96,181.34,6.7,6.91,7.08,1.14,0.56,7.65,45.21229935,-73.78250122
